age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
38,3,0.40111575190832566,8,9,0,5,1,4,1,0,0,40,37,0
53,3,0.6201585893670324,1,7,2,5,0,2,1,0,0,40,37,0
28,3,1.8108329657978783,6,13,2,9,5,2,0,0,0,40,4,0
37,3,1.192724509080195,9,14,2,3,5,4,0,0,0,40,37,0
52,5,0.33217036810218803,8,9,2,3,0,4,1,0,0,45,37,1
30,6,-0.45265179316204857,6,13,2,9,0,1,1,0,0,40,17,1
32,3,0.2790833412308066,4,12,4,11,1,2,1,0,0,50,37,0
40,3,-0.6768620894336737,5,11,2,2,0,1,1,0,0,40,37,1
25,5,-0.04546752194588695,8,9,4,4,3,4,1,0,0,35,37,0
32,3,0.07014575656180687,8,9,4,6,4,4,1,0,0,40,37,0
38,3,-1.743483004629059,1,7,2,11,0,4,1,0,0,50,37,0
43,5,1.2799167641168379,9,14,0,3,4,4,0,0,0,45,37,1
35,0,-1.1927696940736379,3,5,2,4,0,2,1,0,0,40,37,0
59,3,-0.8233538051590064,8,9,0,12,4,4,0,0,0,40,37,0
56,1,0.4149530582851404,6,13,2,12,0,4,1,0,0,40,37,1
19,3,-0.1426387141123654,8,9,4,2,3,4,1,0,0,40,37,0
49,3,0.1452691244598336,8,9,2,2,0,4,1,0,0,40,37,0
23,1,0.11475815098000218,4,12,4,10,1,4,1,0,0,52,37,0
20,3,0.9795151584591828,11,10,4,11,3,2,1,0,0,44,37,0
30,0,-1.3867675811524003,11,10,2,0,3,4,1,0,0,40,37,0
48,3,0.7084073026498717,1,7,4,6,4,4,1,0,0,40,31,0
21,3,0.18929587354589814,11,10,4,6,3,4,1,0,0,40,37,0
31,3,-1.108838679710037,11,10,2,11,0,4,1,0,0,38,37,1
48,5,0.9733371743672937,4,12,2,9,0,4,1,0,0,40,37,0
53,5,-1.058863611368213,6,13,2,9,0,4,1,0,0,40,37,0
24,3,-0.08874786031452998,6,13,2,12,0,4,1,0,0,50,37,0
49,3,-0.9884483726108453,8,9,5,0,4,4,0,0,0,40,37,0
25,3,1.2547110483516026,8,9,4,5,1,4,1,0,0,35,37,0
57,0,1.8049305795093449,6,13,2,9,0,2,1,0,0,40,37,1
53,3,-0.4174671402669776,8,9,2,6,0,4,1,0,0,38,37,0
44,3,-0.6012793918633875,9,14,0,3,4,4,0,0,0,40,37,0
41,6,-0.9084675934286753,5,11,2,2,0,4,1,0,0,40,37,0
29,3,1.042110309546334,5,11,4,9,1,4,1,0,0,43,37,0
25,3,-1.7045777813886869,11,10,2,3,5,3,0,0,0,40,37,0
43,3,0.6577317565578522,11,10,2,12,0,4,1,0,0,40,37,1
35,3,-1.4280957684139408,5,11,2,7,0,4,1,0,0,40,31,0
41,3,-0.38289109918765046,8,9,2,0,0,4,1,0,0,48,37,0
48,3,-0.3568471067705418,8,9,2,13,0,4,1,0,0,40,37,0
42,3,-0.735885952319008,7,16,2,9,0,4,1,0,0,45,37,1
36,3,-0.28913042983769816,8,9,2,2,0,4,1,0,0,40,37,0
